       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2016 (Casos Nuevos Notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total general
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,5,,5,15,,15,18,2,20,147,11,158,46,5,51,50,10,60,13,2,15,20,1,21,345
Chancro blando(A57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,,,,1,1,,2,2,1,1,2,0,12,12,17
Conjuntivitis(H10),120,118,238,431,524,955,421,509,930,340,354,694,209,184,393,132,112,244,1367,1390,2757,476,515,991,1171,919,2090,465,398,863,1249,966,2215,12370
"Contacto traumático con avispas, avispones y abejas(X23)",,,,,1,1,1,3,4,,2,2,4,,4,,1,1,5,7,12,2,5,7,10,4,14,1,,1,2,4,6,52
Dengue con signos de alarma(A97.1),1,1,2,3,1,4,8,17,25,12,17,29,12,12,24,5,8,13,28,25,53,2,5,7,21,21,42,10,4,14,8,12,20,233
Dengue grave(A97.2),,,,,,,,2,2,8,3,11,2,3,5,,,,4,3,7,1,1,2,3,3,6,1,1,2,3,5,8,43
"Dengue no grave(A97.0, A97.9)",5,11,16,35,44,79,96,117,213,119,167,286,96,116,212,23,20,43,188,156,344,41,41,82,108,80,188,31,30,61,52,63,115,1639
Depresión(F32),,,,,,,1,3,4,22,12,34,46,15,61,14,10,24,95,33,128,41,10,51,84,39,123,43,13,56,134,53,187,668
Desnutrición leve(E44.1),8,1,9,17,7,24,8,4,12,1,3,4,1,4,5,,,,,,,,,,,,,,,,4,0,4,58
Desnutrición moderada(E44.0),,1,1,4,1,5,2,1,3,2,1,3,2,2,4,,,,,,,,,,,,,,,,2,2,4,20
Desnutrición severa(E40-E43),,,,4,,4,2,2,4,4,1,5,1,,1,,,,5,2,7,2,,2,1,2,3,,,,6,3,9,35
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,2,,2,50,,50,,,,1,,1,,,,0,0,0,53
Diabetes mellitus tipo 1(E10),,,,,,,,2,2,1,,1,1,2,3,1,1,2,,,,,,,,,,,,,0,1,1,9
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,3,2,5,5,2,7,7,5,12,226,298,524,210,203,413,384,421,805,144,152,296,296,267,563,2625
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,1,,1,1,,1,8,,8,63,,63,18,,18,18,,18,8,,8,8,0,8,125
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,1,,1,16,,16,5,,5,10,,10,3,,3,6,0,6,41
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,1,,1,19,,19,1,,1,,,,,,,0,0,0,21
"Efectos del calor y de la luz(T67, X30)",,,,,,,2,1,3,,2,2,,1,1,,1,1,7,1,8,2,5,7,2,1,3,1,2,3,5,1,6,34
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,1,1,,,,,2,2,3,,3,1,16,17,1,3,4,1,14,15,42
"Enfermedad cerebrovascular(I60-I67, I69)",,,,,1,1,1,,1,1,4,5,1,5,6,,2,2,13,9,22,14,17,31,39,89,128,42,58,100,351,321,672,968
Enfermedad de Alzheimer(G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,12,12
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,1,1,2,,1,1,5,3,8,2,1,3,34,32,66,80
Enfermedad febril exantemática(U97),5,4,9,2,8,10,1,2,3,,2,2,1,,1,,,,1,,1,,,,,,,,,,0,0,0,26
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,,2,2,2,2,4,15,49,64,18,35,53,91,156,247,53,113,166,318,338,656,1192
Enfermedad por virus Chikungunya(A92.0),,,,,,,,,,,,,,,,,,,,1,1,,,,,2,2,,,,0,0,0,3
"Enfermedad pulmonar obstructiva crónica (EPOC)(J41-J42, J44)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,3,3,4
Enterobiasis(B80),,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Erisipela(A46),,,,,,,,,,,,,,1,1,,,,1,11,12,3,7,10,6,16,22,6,11,17,41,30,71,133
Escabiosis(B86),6,8,14,44,40,84,42,58,100,46,44,90,37,23,60,10,5,15,51,34,85,22,14,36,54,33,87,35,19,54,77,41,118,743
Escarlatina(A38),,,,,4,4,5,5,10,1,4,5,,,,,,,,,,,,,,,,,,,0,0,0,19
Espina bífida(Q05),2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",2,2,4,4,3,7,4,1,5,1,2,3,,1,1,,,,2,2,4,1,,1,1,,1,,,,0,1,1,27
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",,,,2,2,4,8,4,12,5,8,13,3,1,4,,4,4,6,3,9,2,1,3,4,2,6,,1,1,5,2,7,63
Fiebre paratifoidea(A01.1-A01.4),,,,,,,1,,1,2,3,5,1,,1,,1,1,3,,3,2,2,4,3,1,4,1,,1,1,2,3,23
Fiebre tifoidea(A01.0),,,,9,7,16,15,8,23,6,3,9,8,7,15,2,,2,16,8,24,4,2,6,10,3,13,4,3,7,10,4,14,129
Giardiasis(A07.1),1,2,3,3,13,16,5,7,12,3,4,7,1,2,3,,,,1,,1,,,,1,,1,,,,1,0,1,44
Gingivitis y enfermedad periodontal(K05),1,,1,54,39,93,197,179,376,346,367,713,471,441,912,427,299,726,2143,1469,3612,855,624,1479,1700,1425,3125,806,702,1508,1691,1507,3198,15743
Hepatitis vírica A(B15),,,,2,1,3,2,2,4,2,2,4,2,2,4,2,4,6,5,14,19,,1,1,1,1,2,,,,0,0,0,43
Hepatitis vírica B(B16),,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,1,1,0,0,0,3
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,2,1,3,,,,,4,4,3,1,4,5,0,5,16
Herpes genital(A60.0),,,,,,,,,,,,,,,,,3,3,3,4,7,,1,1,,3,3,,2,2,0,0,0,16
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,10,10,,10,10,,160,160,,44,44,0,161,161,385
Hipertensión arterial(I10-I15),,,,,,,,,,,,,1,11,12,10,8,18,235,339,574,217,195,412,402,444,846,155,173,328,334,301,635,2825
Infección asintomática por VIH(Z21),,,,,,,1,,1,,,,,2,2,,2,2,3,11,14,1,3,4,,6,6,,5,5,1,1,2,36
Infección asociada a la atención de la salud(S/C),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,0,3,3,4
"Infección de vías urinarias(N30, N34, N39.0)",126,60,186,908,277,1185,1446,480,1926,1000,360,1360,1040,317,1357,735,254,989,5808,1513,7321,2424,727,3151,5500,1780,7280,2599,1050,3649,8643,3859,12502,40906
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,,,,,,8,1,9,45,8,53,13,1,14,8,2,10,3,1,4,5,0,5,95
Infección por virus Zika(A92.5),,,,,,,,1,1,,,,,,,,,,2,1,3,,,,,2,2,,,,1,0,1,7
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",320,405,725,2245,2588,4833,2126,2249,4375,1712,2036,3748,1244,1161,2405,632,486,1118,3768,3258,7026,1395,1134,2529,2903,2144,5047,1311,918,2229,3567,2173,5740,39775
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",2949,3278,6227,13318,14448,27766,12142,12951,25093,9382,9806,19188,5520,5103,10623,2858,2313,5171,16724,11568,28292,7032,4593,11625,15036,9011,24047,6497,4294,10791,15788,9907,25695,194518
Influenza(J09-J11),,4,4,31,38,69,55,45,100,42,53,95,21,25,46,8,5,13,102,56,158,26,26,52,71,44,115,23,14,37,60,60,120,809
Insuficiencia venosa periférica(I87.2),,,,,,,,,,1,,1,,1,1,2,1,3,87,15,102,61,14,75,139,39,178,74,32,106,205,76,281,747
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,,,,,,,,4,4,3,1,4,1,2,3,,,,0,1,1,12
Intoxicación alimentaria bacteriana(A05),,,,8,6,14,9,14,23,2,6,8,2,3,5,,,,6,1,7,2,1,3,4,1,5,1,1,2,4,0,4,71
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,,1,1,6,,6,2,5,7,5,3,8,,3,3,10,11,21,4,3,7,11,7,18,1,5,6,10,9,19,96
Intoxicación por plaguicidas(T60),,,,,,,,1,1,1,,1,,,,,,,,3,3,,,,,,,,,,0,1,1,6
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,1,3,4,2,,2,2,2,4,2,3,5,3,,3,10,7,17,3,6,9,6,5,11,4,1,5,2,5,7,67
Labio y paladar hendido(Q35-Q37),,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Leishmaniasis cutánea(B55.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1
Leptospirosis(A27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1
Meningitis tuberculosa(A17.0),,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,0,0,0,1
"Mordedura por serpiente(T63.0, X20)",,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,0,0,0,2
Mordeduras por otros mamíferos(W55),,,,3,1,4,3,6,9,3,4,7,5,5,10,3,,3,15,18,33,6,7,13,11,7,18,2,4,6,15,14,29,132
Mordeduras por perro(W54),,,,20,21,41,42,51,93,32,71,103,39,51,90,13,22,35,90,106,196,77,44,121,116,89,205,39,45,84,95,92,187,1155
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",7,10,17,24,27,51,11,11,22,2,6,8,6,,6,1,4,5,24,24,48,8,15,23,37,36,73,33,31,64,254,220,474,791
Obesidad(E66),5,6,11,36,33,69,271,247,518,352,466,818,249,279,528,93,83,176,775,730,1505,299,314,613,486,485,971,143,153,296,189,144,333,5838
Otitis media aguda(H65.0-H65.1),26,33,59,203,216,419,217,193,410,131,105,236,46,48,94,29,42,71,165,110,275,77,64,141,122,132,254,55,42,97,92,70,162,2218
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",1,2,3,109,149,258,175,200,375,142,124,266,64,49,113,10,17,27,100,68,168,36,28,64,89,55,144,32,38,70,82,42,124,1612
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,,,,2,1,3,2,2,4,2,1,3,,2,2,4,2,6,,,,2,1,3,,,,0,1,1,22
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",,1,1,10,10,20,14,16,30,8,9,17,13,18,31,8,11,19,16,21,37,5,7,12,13,3,16,11,9,20,16,9,25,228
Otras rickettsiosis(A79),,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,0,0,0,1
Otras salmonelosis(A02),,,,10,2,12,7,3,10,6,1,7,14,8,22,12,2,14,39,6,45,16,4,20,23,7,30,12,1,13,13,11,24,197
Parálisis flácida aguda(U98),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,0,1,2
Parotiditis infecciosa(B26),,,,8,8,16,10,13,23,2,6,8,,1,1,4,4,8,11,12,23,3,7,10,6,7,13,2,1,3,4,4,8,113
Peatón lesionado en accidente de transporte(V01-V09),,,,1,1,2,,2,2,2,1,3,1,4,5,3,2,5,2,5,7,,1,1,3,1,4,1,1,2,2,5,7,38
Quemaduras(T20-T32),2,9,11,29,31,60,20,23,43,9,26,35,24,22,46,22,10,32,127,182,309,94,63,157,125,95,220,50,36,86,120,69,189,1188
Shigelosis(A03),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
Sífilis adquirida(A51-A53),,,,,,,,,,,,,,,,,2,2,1,,1,,1,1,,1,1,,1,1,0,1,1,7
Síndrome coqueluchoide(U99),,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Síndrome de inmunodeficiencia adquirida(B20-B24),,,,,,,,,,,,,,1,1,,1,1,2,11,13,2,2,4,1,3,4,1,1,2,0,2,2,27
"Síndrome meníngeo(G00-G03 EXCEPTO G00.0, G00.1)",,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0,0,0,1
Tos ferina(A37),,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Toxoplasmosis(B58),,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,0,0,0,1
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,1,,1,1,,1,1,1,2,3,1,4,,,,0,0,0,8
Tripanosomiasis americana (enfermedad de Chagas) crónica(B57.2-B57.5),,,,,,,,,,,,,,,,,,,1,,1,,,,,2,2,,,,0,0,0,3
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,1,1,,1,1,1,,1,,,,2,1,3,,,,1,1,2,1,,1,2,1,3,12
Tuberculosis respiratoria(A15-A16),,,,,,,,,,1,,1,,,,,,,5,7,12,5,3,8,2,8,10,,2,2,10,10,20,53
Tumor maligno de la mama(C50),,,,,,,,,,,,,,,,,,,18,,18,26,,26,48,1,49,24,,24,80,0,80,197
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,5,,5,3,,3,3,,3,,,,6,0,6,17
"Úlceras, gastritis y duodenitis(K25-K29)",,,,12,16,28,74,56,130,260,140,400,209,147,356,134,98,232,656,359,1015,212,153,365,381,234,615,181,157,338,422,271,693,4172
Varicela(B01),16,12,28,63,76,139,95,94,189,60,56,116,30,28,58,8,7,15,29,36,65,3,11,14,4,4,8,2,,2,4,2,6,640
Violencia intrafamiliar(Y07.0-Y07.2),,,,,,,,,,,,,,,,,,,3,1,4,,,,4,,4,,,,1,0,1,9
Vulvovaginitis(N76),,,,10,,10,14,,14,15,,15,32,,32,59,,59,555,,555,104,,104,150,,150,35,,35,65,0,65,1039
Total general,3624,4011,7635,17892,18949,36841,17774,17819,35593,14214,14450,28664,9577,8204,17781,5360,3905,9265,34161,22249,56410,13993,8986,22979,29621,18180,47801,13018,8616,21634,34537,21291,55828,340431
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
Absceso hepático amebiano(A06.4),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,0,1
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",1,,1,1,1,2,2,,2,4,5,9,5,11,16,7,8,15,38,91,129,11,20,31,19,20,39,3,7,10,9,7,16,270
"Amebiasis intestinal(A06.0-A06.3, A06.9)",3,,3,9,10,19,10,8,18,4,6,10,3,3,6,,1,1,7,13,20,2,5,7,7,7,14,4,2,6,7,13,20,124
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,,,,1,1,2,4,2,6,2,3,5,,,,3,2,5,2,1,3,1,1,2,,,,2,1,3,26
Ascariasis(B77),,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
"Asma(J45, J46)",3,5,8,44,52,96,61,75,136,29,39,68,18,11,29,5,3,8,62,29,91,28,8,36,41,16,57,19,6,25,16,14,30,584
Brucelosis(A23),,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,0,1,2
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,2,1,3,2,,2,4,2,6,40,4,44,19,2,21,19,3,22,6,1,7,23,8,31,136
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,1,1,4,4,8,1,3,4,1,1,2,0,8,8,23
Cisticercosis(B69),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0,0,0,1
Conjuntivitis(H10),33,22,55,113,131,244,124,123,247,113,122,235,114,57,171,46,49,95,670,759,1429,297,297,594,607,524,1131,261,199,460,606,518,1124,5785
"Contacto traumático con avispas, avispones y abejas(X23)",,,,,,,,2,2,,1,1,1,,1,1,2,3,1,7,8,,4,4,,3,3,1,1,2,1,1,2,26
COVID-19(U07.1-U07.2),21,28,49,43,49,92,72,78,150,134,158,292,187,183,370,206,223,429,4316,6973,11289,1568,2472,4040,2554,3900,6454,821,1101,1922,2082,2553,4635,29722
Dengue con signos de alarma(A97.1),1,,1,2,,2,6,6,12,8,7,15,7,5,12,3,5,8,13,10,23,4,6,10,6,4,10,3,,3,6,11,17,113
Dengue grave(A97.2),,,,,,,,,,1,,1,,1,1,,,,,,,,1,1,2,3,5,,,,0,1,1,9
"Dengue no grave(A97.0, A97.9)",3,1,4,7,8,15,27,28,55,43,55,98,31,41,72,13,8,21,92,115,207,20,43,63,47,70,117,15,11,26,29,24,53,731
Depresión(F32),,,,,,,2,,2,9,10,19,17,7,24,9,5,14,45,21,66,24,8,32,36,13,49,17,5,22,54,19,73,301
Desnutrición leve(E44.1),2,,2,4,4,8,1,4,5,1,2,3,,,,1,,1,,,,,,,,1,1,,,,0,0,0,20
Desnutrición moderada(E44.0),,,,,1,1,1,,1,2,,2,,1,1,,,,,,,,,,,,,,,,1,1,2,7
Desnutrición severa(E40-E43),,1,1,1,,1,3,,3,1,1,2,,,,,,,,1,1,,,,,,,,1,1,3,5,8,17
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,2,,2,56,,56,,,,,,,,,,0,0,0,58
Diabetes mellitus tipo 1(E10),,,,,1,1,1,,1,2,,2,,,,,,,,,,,,,,,,,,,1,1,2,6
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,1,3,4,2,1,3,3,4,7,106,124,230,95,84,179,182,193,375,72,70,142,132,122,254,1194
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,,,,3,,3,3,,3,24,,24,4,,4,9,,9,4,,4,1,0,1,48
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,,,,6,,6,2,,2,3,,3,1,,1,2,0,2,14
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,1,,1,26,,26,,,,,,,,,,0,0,0,27
"Efectos del calor y de la luz(T67, X30)",,,,,,,,,,,1,1,,1,1,,2,2,2,2,4,3,,3,1,2,3,,1,1,0,0,0,15
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,,,,,,,3,3,,2,2,2,15,17,1,10,11,3,9,12,45
"Enfermedad cerebrovascular(I60-I67, I69)",,,,,,,,,,,,,,1,1,,1,1,14,16,30,8,15,23,49,81,130,37,75,112,360,297,657,954
Enfermedad de Alzheimer(G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,5,6,9,14,23,33
Enfermedad febril exantemática(U97),,,,,2,2,,,,,2,2,,,,,,,,,,,,,,,,,,,0,0,0,4
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,,,,,1,1,16,42,58,13,33,46,57,117,174,55,83,138,227,237,464,881
Enfermedad por virus Chikungunya(A92.0),,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,0,0,0,1
"Enfermedad pulmonar obstructiva crónica (EPOC)(J41-J42, J44)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
Enterobiasis(B80),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,0,0,0,1
Erisipela(A46),,,,,,,,,,1,,1,,1,1,,1,1,1,5,6,,8,8,10,9,19,2,4,6,20,14,34,76
Escabiosis(B86),2,,2,9,18,27,15,31,46,13,22,35,9,6,15,3,2,5,35,16,51,14,5,19,19,16,35,11,9,20,31,19,50,305
Escarlatina(A38),,,,1,1,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,0,0,0,5
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",1,1,2,2,2,4,,2,2,,1,1,,,,,,,5,3,8,1,,1,,,,,,,0,2,2,20
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",,,,,,,2,2,4,,1,1,,1,1,,,,2,4,6,2,2,4,1,2,3,,1,1,0,2,2,22
Fiebre paratifoidea(A01.1-A01.4),,,,,,,,,,2,,2,2,,2,1,,1,6,3,9,2,,2,2,2,4,3,,3,2,3,5,28
Fiebre tifoidea(A01.0),,,,,,,2,1,3,3,1,4,3,1,4,1,,1,4,3,7,4,2,6,4,2,6,1,1,2,3,4,7,40
Giardiasis(A07.1),,1,1,1,4,5,1,2,3,,,,,,,,,,,,,1,,1,,,,,1,1,0,0,0,11
Gingivitis y enfermedad periodontal(K05),5,4,9,40,64,104,77,93,170,91,95,186,110,131,241,131,88,219,742,473,1215,295,252,547,565,473,1038,286,278,564,523,561,1084,5377
Hepatitis vírica A(B15),,,,1,1,2,,,,,,,,,,,1,1,1,3,4,,,,,,,,,,0,0,0,7
Hepatitis vírica B(B16),,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,0,0,0,2
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,1,1,1,0,1,4
Herida por arma de fuego y punzocortantes(W32-W34),,,,,,,,,,,,,,,,,,,1,3,4,,1,1,,,,,1,1,0,0,0,6
Herpes genital(A60.0),,,,,,,,,,,,,,,,1,,1,4,3,7,1,,1,3,2,5,1,2,3,0,2,2,19
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,2,2,,8,8,,40,40,,36,36,0,100,100,186
Hipertensión arterial(I10-I15),,,,,,,,,,,,,4,5,9,2,3,5,162,223,385,131,131,262,245,306,551,102,109,211,213,171,384,1807
"Infección de vías urinarias(N30, N34, N39.0)",30,14,44,255,127,382,537,182,719,374,162,536,421,139,560,305,93,398,2963,897,3860,1294,499,1793,2816,1041,3857,1382,593,1975,3937,2294,6231,20355
"Infección por el virus de la inmunodeficiencia humana(B20-B24, Z21)",,,,,,,,,,,,,,,,,4,4,2,18,20,1,5,6,2,10,12,,1,1,2,1,3,46
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,,,1,2,3,2,,2,29,20,49,10,12,22,12,4,16,4,6,10,10,9,19,121
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",120,143,263,788,839,1627,696,775,1471,512,659,1171,418,403,821,199,193,392,1584,1635,3219,569,568,1137,1195,922,2117,516,363,879,1323,842,2165,15262
"Infecciones invasivas por haemophilus influenzae(A41.3, G00.0, J14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",713,839,1552,3340,3579,6919,3774,4029,7803,3267,3423,6690,2235,2027,4262,1170,1010,2180,8956,8981,17937,3847,3344,7191,7341,5751,13092,2931,2133,5064,6166,4522,10688,83378
Influenza(J09-J11),2,5,7,25,9,34,17,21,38,24,28,52,33,33,66,46,43,89,710,777,1487,241,214,455,367,348,715,159,177,336,443,563,1006,4285
Insuficiencia venosa periférica(I87.2),,,,,,,,,,1,,1,1,,1,,1,1,53,12,65,34,10,44,77,28,105,46,15,61,142,89,231,509
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,0,0,0,2
Intoxicación alimentaria bacteriana(A05),,,,4,3,7,2,5,7,2,6,8,1,3,4,4,,4,5,3,8,1,2,3,2,1,3,2,,2,8,0,8,54
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,1,1,2,,1,1,4,4,8,4,3,7,3,,3,6,9,15,7,3,10,13,7,20,8,6,14,8,15,23,103
Intoxicación por plaguicidas(T60),,,,2,,2,,,,,,,1,2,3,,,,,,,,,,,,,,,,1,1,2,7
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,1,,1,,3,3,1,1,2,1,1,2,,,,1,3,4,1,1,2,3,,3,1,1,2,2,2,4,23
Leishmaniasis cutánea(B55.1),,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,0,1,1,2
Linfogranuloma venéreo por clamidias(A55),,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,0,0,0,1
"Mordedura por serpiente(T63.0, X20)",,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,2,,,,0,0,0,4
Mordeduras por otros mamíferos(W55),,2,2,1,,1,2,6,8,6,3,9,3,4,7,,1,1,4,9,13,5,1,6,7,12,19,8,1,9,12,3,15,90
Mordeduras por perro(W54),,1,1,13,10,23,16,25,41,17,32,49,15,25,40,5,16,21,51,62,113,48,21,69,73,69,142,15,32,47,46,46,92,638
